source,row,parse_ok,length,finite_count,nonfinite_count,min,max,mean
train,205,True,2151,2151,0,0.05900000035762787,0.9100000262260437,0.4462175667285919
train,206,True,2151,2151,0,0.08699999749660492,0.9120000004768372,0.4507177770137787
train,207,True,2151,2151,0,0.032999999821186066,0.9049999713897705,0.40541934967041016
train,208,True,2151,2151,0,0.04699999839067459,0.9240000247955322,0.43569737672805786
train,209,True,2151,2151,0,0.08399999886751175,0.9710000157356262,0.48025473952293396
train,210,True,2151,2151,0,0.03400000184774399,0.8849999904632568,0.41088563203811646
train,211,True,2151,2151,0,0.03500000014901161,0.9139999747276306,0.40829989314079285
train,212,True,2151,2151,0,0.0430000014603138,0.9319999814033508,0.4029107391834259
train,213,True,2151,2151,0,0.03200000151991844,0.9129999876022339,0.43871456384658813
train,214,True,2151,2151,0,0.035999998450279236,0.9210000038146973,0.415235698223114
train,215,True,2151,2151,0,0.041999999433755875,0.9229999780654907,0.40138259530067444
train,216,True,2151,2151,0,0.03700000047683716,0.9190000295639038,0.4086318016052246
train,217,True,2151,2151,0,0.06199999898672104,0.8830000162124634,0.39197906851768494
train,218,True,2151,2151,0,0.06400000303983688,0.8759999871253967,0.3851766586303711
train,219,True,2151,2151,0,0.1770000010728836,0.9390000104904175,0.5440976023674011
train,220,True,2151,2151,0,0.06800000369548798,0.925000011920929,0.45728403329849243
train,221,True,2151,2151,0,0.09399999678134918,0.8920000195503235,0.4338117241859436
train,222,True,2151,2151,0,0.13099999725818634,0.9399999976158142,0.48611342906951904
train,223,True,2151,2151,0,0.08100000023841858,0.9390000104904175,0.45464715361595154
train,224,True,2151,2151,0,0.08100000023841858,0.9010000228881836,0.4402998387813568
train,225,True,2151,2151,0,0.08399999886751175,0.9240000247955322,0.4599102735519409
train,226,True,2151,2151,0,0.11400000005960464,0.8849999904632568,0.4745146632194519
train,227,True,2151,2151,0,0.05999999865889549,0.8870000243186951,0.4252566397190094
train,228,True,2151,2151,0,0.14800000190734863,0.8709999918937683,0.4956755042076111
train,229,True,2151,2151,0,0.09700000286102295,0.9160000085830688,0.49301207065582275
train,230,True,2151,2151,0,0.07500000298023224,0.8920000195503235,0.45239099860191345
train,231,True,2151,2151,0,0.125,0.8619999885559082,0.48576244711875916
train,232,True,2151,2151,0,0.07500000298023224,0.9120000004768372,0.44942864775657654
train,233,True,2151,2151,0,0.057999998331069946,0.8550000190734863,0.43548351526260376
train,234,True,2151,2151,0,0.07000000029802322,0.9739999771118164,0.5340078473091125
train,235,True,2151,2151,0,0.08900000154972076,0.953000009059906,0.5184923410415649
train,236,True,2151,2151,0,0.05999999865889549,0.8519999980926514,0.429099977016449
train,237,True,2151,2151,0,0.05400000140070915,0.8790000081062317,0.44937795400619507
train,238,True,2151,2151,0,0.05700000002980232,0.8679999709129333,0.43743187189102173
train,239,True,2151,2151,0,0.05299999937415123,0.875,0.44437843561172485
train,240,True,2151,2151,0,0.052000001072883606,0.8989999890327454,0.4795765280723572
train,241,True,2151,2151,0,0.05000000074505806,0.9190000295639038,0.4587382674217224
train,242,True,2151,2151,0,0.061000000685453415,0.8510000109672546,0.4390994906425476
train,243,True,2151,2151,0,0.05299999937415123,0.9440000057220459,0.5049014091491699
train,244,True,2151,2151,0,0.057999998331069946,0.8849999904632568,0.45521432161331177
train,245,True,2151,2151,0,0.05000000074505806,0.8809999823570251,0.4602157175540924
train,246,True,2151,2151,0,0.050999999046325684,0.8610000014305115,0.46530216932296753
train,247,True,2151,2151,0,0.0689999982714653,0.8970000147819519,0.46126872301101685
train,248,True,2151,2151,0,0.04600000008940697,0.8889999985694885,0.449571818113327
train,249,True,2151,2151,0,0.05999999865889549,0.8960000276565552,0.46050766110420227
train,250,True,2151,2151,0,0.12800000607967377,0.828000009059906,0.48021480441093445
train,251,True,2151,2151,0,0.06300000101327896,0.8500000238418579,0.44703254103660583
train,252,True,2151,2151,0,0.06700000166893005,0.8989999890327454,0.48921480774879456
train,253,True,2151,2151,0,0.07599999755620956,0.8709999918937683,0.47618362307548523
train,254,True,2151,2151,0,0.11900000274181366,0.9120000004768372,0.535860538482666
train,255,True,2151,2151,0,0.16899999976158142,0.8360000252723694,0.5009154081344604
train,256,True,2151,2151,0,0.04600000008940697,0.8999999761581421,0.48044025897979736
train,257,True,2151,2151,0,0.039000000804662704,0.9079999923706055,0.48533374071121216
train,258,True,2151,2151,0,0.07999999821186066,0.9089999794960022,0.49539515376091003
train,259,True,2151,2151,0,0.03400000184774399,0.9039999842643738,0.4786001741886139
train,260,True,2151,2151,0,0.039000000804662704,0.9190000295639038,0.5095406770706177
train,261,True,2151,2151,0,0.04500000178813934,0.8489999771118164,0.4277322292327881
train,262,True,2151,2151,0,0.03200000151991844,0.9330000281333923,0.5080636739730835
train,263,True,2151,2151,0,0.03500000014901161,0.8840000033378601,0.4853495657444
train,264,True,2151,2151,0,0.10599999874830246,0.8730000257492065,0.4917857050895691
train,265,True,2151,2151,0,0.06400000303983688,0.9359999895095825,0.45739516615867615
train,266,True,2151,2151,0,0.03500000014901161,0.8889999985694885,0.4583514630794525
train,267,True,2151,2151,0,0.057999998331069946,0.9440000057220459,0.5539079904556274
train,268,True,2151,2151,0,0.039000000804662704,0.9150000214576721,0.4829827845096588
train,269,True,2151,2151,0,0.03500000014901161,0.8980000019073486,0.4704969525337219
train,270,True,2151,2151,0,0.06499999761581421,0.9549999833106995,0.5247336030006409
train,271,True,2151,2151,0,0.03999999910593033,0.9240000247955322,0.5181013941764832
train,272,True,2151,2151,0,0.04600000008940697,0.9079999923706055,0.5025983452796936
train,273,True,2151,2151,0,0.0430000014603138,0.9599999785423279,0.5776689648628235
train,274,True,2151,2151,0,0.05000000074505806,0.9440000057220459,0.5305500030517578
train,275,True,2151,2151,0,0.03400000184774399,0.9390000104904175,0.5135393142700195
train,276,True,2151,2151,0,0.039000000804662704,0.8870000243186951,0.4978521764278412
train,277,True,2151,2151,0,0.052000001072883606,0.9129999876022339,0.5163974761962891
train,278,True,2151,2151,0,0.09200000017881393,0.8859999775886536,0.49473780393600464
train,279,True,2151,2151,0,0.04699999839067459,0.9179999828338623,0.48929426074028015
train,280,True,2151,2151,0,0.03700000047683716,0.9169999957084656,0.4780018627643585
train,281,True,2151,2151,0,0.03400000184774399,0.8899999856948853,0.428732693195343
train,282,True,2151,2151,0,0.05700000002980232,0.9190000295639038,0.46939796209335327
train,283,True,2151,2151,0,0.0860000029206276,0.8820000290870667,0.4917401373386383
train,284,True,2151,2151,0,0.24799999594688416,0.847000002861023,0.541587233543396
train,285,True,2151,2151,0,0.041999999433755875,0.9049999713897705,0.44865551590919495
train,286,True,2151,2151,0,0.050999999046325684,0.9240000247955322,0.47362715005874634
train,287,True,2151,2151,0,0.07400000095367432,0.9369999766349792,0.496110200881958
train,288,True,2151,2151,0,0.10400000214576721,0.8820000290870667,0.49061834812164307
train,289,True,2151,2151,0,0.03700000047683716,0.9129999876022339,0.44685637950897217
train,290,True,2151,2151,0,0.04699999839067459,0.9049999713897705,0.42579221725463867
